ParkingZone,OnStreet,StreetFrom,StreetTo,Segment_ID
7000,Poplar Road,Upfield Railway,Kendall Avenue,22405
7031,Cardigan Street,Argyle Place North,Grattan Street,20512
7068,Lygon Street,Faraday Street,Elgin Street,20534
7067,Lygon Street,Pelham Street,Argyle Place North,20528
7118,Swanston Street,Lincoln Square North,Grattan Street,20488
7143,Garton Street,MacPherson Street,Bowen Crescent,22511
7150,Royal Parade,Ievers Street,Walker Street,22387
7148,Park Street,Royal Parade,Bowen Crescent,22395
7171,Bourke Street,Harbour Esplanade,Enterprize Way,22801
7175,Navigation Drive,Collins Street,Harbour Esplanade,23236
7236,Albert Street,Gisborne Street,Morrison Place,22619
7247,Cathedral Place,Lansdowne Street,Gisborne Street,21851
7250,Clarendon Street,Wellington Parade,George Street,21937
7261,Pearl River Road,Footscray Road,Docklands Drive,23224
7327,Birdwood Avenue,Dallas Brooks Drive,Domain Road,22706
7340,Bourke Street,William Street,King Street,20088
7351,Collins Street,Elizabeth Street,Queen Street,20114
7383,Elizabeth Street,Franklin Street,Therry Street,21631
7411,Exhibition Street,Little Collins Street,Bourke Street,20141
7446,Flinders Street,Exhibition Street,Russell Street,20210
7513,Linlithgow Avenue,St Kilda Road,Government House Drive,22089
7499,La Trobe Street,Exhibition Street,Russell Street,20018
7501,La Trobe Street,Russell Street,Swanston Street,20020
7510,Little Bourke Street,Russell Street,Swanston Street,20053
7512,Little Collins Street,Spring Street,Exhibition Street,20091
7545,Little Lonsdale Street,Queen Street,William Street,20044
7598,Queen Street,Flinders Street,Flinders Lane,20170
7652,St Kilda Road,Anzac Avenue,Coventry Street,22704
7656,St Kilda Road,Armadale Street,Commercial Road,22476
7665,St Kilda Road,Commercial Road,Moubray Street,22477
7685,Victoria Street,Rathdowne Street,Drummond Street,21601
7687,Victoria Street,La Trobe Street,Rathdowne Street,21599
7708,Blackwood Street,Flemington Road,Courtney Street,21122
7707,Bedford Street,Courtney Street,Peel Street,21120
7721,Cobden Street,Victoria Street,Princess Street,20931
7722,Curzon Street,Elm Street,Queensberry Street,20998
7726,Flemington Road,Blackwood Street,Wreckyn Street,21123
7744,Queensberry Street,Cobden Street,Peel Street,20925
7776,Royal Parade,Gatehouse Street,Degraves Street,22607
7796,Royal Parade,Grattan Street,Story Street,22514
7797,Royal Parade,Morrah Street,Royal Parade,22603
7818,City Road,Power Street,Balston Street,22050
7841,Dorcas Street,Wells Street,Dodds Street,22096
7898,Wells Street,Grant Street,Miles Street,22106
7909,Alexandra Avenue,Punt Road,Walsh Street,22276
